Algorithm	Image	Size	Threads	Time	Stddev	Clock	CPUs	Cycles	Instructions	IO	MemAlloc	O3
mandelbrot_pth	elephant.log	32	2	0.0022294	0.0000465	2.87	1.287	5,758,838	5,584,145	0	1	0
mandelbrot_pth	elephant.log	32	4	0.0021019	0.0000762	3.46	1.645	6,456,639	5,721,949	0	1	0
mandelbrot_pth	elephant.log	32	8	0.0017858	0.0000342	3.18	1.781	6,726,520	6,031,268	0	1	0
mandelbrot_pth	elephant.log	32	16	0.0023858	0.0000927	4.85	2.032	8,456,377	6,678,594	0	1	0
mandelbrot_pth	elephant.log	32	32	0.0034705	0.0000629	5.84	1.683	10,468,611	7,739,408	0	1	0
mandelbrot_pth	elephant.log	64	1	0.010727	0.000697	10.22	0.952	17,810,303	19,301,937	0	1	0
mandelbrot_pth	elephant.log	64	2	0.006091	0.000589	9.96	1.636	16,767,728	19,387,091	0	1	0
mandelbrot_pth	elephant.log	64	4	0.005205	0.000193	12.87	2.472	19,255,416	19,547,175	0	1	0
mandelbrot_pth	elephant.log	64	8	0.0036961	0.0000704	12.1	3.275	20,228,694	19,845,878	0	1	0
mandelbrot_pth	elephant.log	64	16	0.0024431	0.0000308	10.53	4.31	23,696,631	20,424,055	0	1	0
mandelbrot_pth	elephant.log	64	32	0.004395	0.000244	15.69	3.571	24,479,682	21,758,209	0	1	0
mandelbrot_pth	elephant.log	128	1	0.024848	0.000981	24.42	0.983	68,124,281	74,541,531	0	1	0
mandelbrot_pth	elephant.log	128	2	0.019159	0.00091	31.75	1.657	68,798,832	73,456,628	0	1	0
mandelbrot_pth	elephant.log	128	4	0.010388	0.000622	30.77	2.962	65,987,368	74,736,262	0	1	0
mandelbrot_pth	elephant.log	128	8	0.009351	0.000627	41.73	4.462	67,245,882	75,048,859	0	1	0
mandelbrot_pth	elephant.log	128	16	0.005928	0.000217	38.53	6.5	74,520,953	75,585,730	0	1	0
mandelbrot_pth	elephant.log	128	32	0.005911	0.000428	46.02	7.784	84,924,161	77,136,490	0	1	0
mandelbrot_pth	elephant.log	256	1	0.1	0.0103	99.55	0.995	268,402,793	298,519,906	0	1	0
mandelbrot_pth	elephant.log	256	2	0.048002	0.000726	90.9	1.894	269,863,874	297,176,842	0	1	0
mandelbrot_pth	elephant.log	256	4	0.03611	0.00131	111.75	3.094	261,350,800	307,998,996	0	1	0
mandelbrot_pth	elephant.log	256	8	0.021708	0.000797	111.29	5.127	266,221,579	301,482,263	0	1	0
mandelbrot_pth	elephant.log	256	16	0.014976	0.00077	111.65	7.455	277,738,749	297,541,601	0	1	0
mandelbrot_pth	elephant.log	256	32	0.013026	0.000849	150.94	11.588	321,195,251	296,330,567	0	1	0
mandelbrot_pth	elephant.log	512	1	0.4625	0.0424	461.93	0.999	1,074,890,686	1,177,449,167	0	1	0
mandelbrot_pth	elephant.log	512	2	0.2239	0.0202	404.02	1.804	1,081,533,139	1,166,556,168	0	1	0
mandelbrot_pth	elephant.log	512	4	0.1369	0.0144	415.63	3.036	1,082,871,991	1,170,539,139	0	1	0
