Algorithm	Image	Size	Threads	Time	Stddev	Clock	CPUs	Cycles	Instructions	Tasks
mandelbrot_ompi_omp	triple_spiral.log	4096	32	34.76	14.57	31,656.59	0.911	101,159,781,180	89,523,586,888	1
mandelbrot_ompi_omp	triple_spiral.log	4096	1	10.39	0.737	41,296.62	3.975	116,383,380,484	147,278,850,026	8
mandelbrot_ompi_omp	triple_spiral.log	4096	2	8.546	0.685	42,062.04	4.922	111,088,391,299	135,572,844,443	8
mandelbrot_ompi_omp	triple_spiral.log	4096	4	7.948	0.738	50,068.91	6.299	121,993,545,386	134,577,607,412	8
mandelbrot_ompi_omp	triple_spiral.log	4096	8	6.774	0.848	47,817.81	7.059	123,444,799,734	131,202,716,599	8
mandelbrot_ompi_omp	triple_spiral.log	4096	16	6.399	0.61	49,619.68	7.754	124,267,230,663	129,759,077,435	8
mandelbrot_ompi_omp	triple_spiral.log	4096	32	7.056	0.528	48,039.40	6.808	123,172,873,693	129,480,076,137	8
mandelbrot_ompi_omp	triple_spiral.log	4096	1	8.588	0.732	56,817.45	6.616	145,818,150,125	198,076,435,320	16
mandelbrot_ompi_omp	triple_spiral.log	4096	2	7.241	0.606	62,180.50	8.587	152,352,781,644	190,043,442,346	16
mandelbrot_ompi_omp	triple_spiral.log	4096	4	7.697	0.877	63,314.14	8.225	153,145,672,306	183,992,594,692	16
mandelbrot_ompi_omp	triple_spiral.log	4096	8	7.485	0.902	63,966.39	8.546	155,808,006,394	185,155,619,070	16
mandelbrot_ompi_omp	triple_spiral.log	4096	16	7.024	0.616	62,732.76	8.932	157,125,233,594	182,647,566,711	16
mandelbrot_ompi_omp	triple_spiral.log	4096	32	8.328	0.681	60,639.16	7.282	154,600,986,332	180,377,768,086	16
mandelbrot_ompi_omp	triple_spiral.log	4096	1	8.37	0.58	111,221.24	13.288	288,880,644,430	319,716,535,443	32
mandelbrot_ompi_omp	triple_spiral.log	4096	2	9.656	0.712	114,141.46	11.82	284,420,338,223	307,672,416,285	32
mandelbrot_ompi_omp	triple_spiral.log	4096	4	8.553	0.726	108,866.39	12.728	279,465,136,943	299,887,454,778	32
mandelbrot_ompi_omp	triple_spiral.log	4096	8	8.885	0.703	112,383.75	12.649	284,911,925,780	303,342,343,401	32
mandelbrot_ompi_omp	triple_spiral.log	4096	16	7.641	0.613	108,726.61	14.23	285,209,926,141	298,954,974,517	32
mandelbrot_ompi_omp	triple_spiral.log	4096	32	9.377	0.745	117,265.50	12.505	300,622,783,745	307,017,015,163	32
mandelbrot_ompi_omp	triple_spiral.log	4096	1	9.889	0.297	197,762.12	19.999	544,980,042,769	604,293,173,312	64
mandelbrot_ompi_omp	triple_spiral.log	4096	2	9.389	0.193	194,551.50	20.722	539,294,431,738	599,210,801,428	64
mandelbrot_ompi_omp	triple_spiral.log	4096	4	9.338	0.243	189,008.37	20.241	521,381,933,679	568,868,804,741	64
mandelbrot_ompi_omp	triple_spiral.log	4096	8	10.298	0.409	199,058.04	19.329	546,455,425,679	592,286,992,711	64
mandelbrot_ompi_omp	triple_spiral.log	4096	16	9.872	0.204	196,211.28	19.876	538,853,535,177	573,388,071,366	64
mandelbrot_ompi_omp	triple_spiral.log	4096	32	9.859	0.131	206,405.08	20.935	570,213,788,505	601,928,042,967	64
